node,category,ETL,M
python,vert.ecto,3.29,4.39E-03
Living Sediments,,2,3.13E+00
Living POC,,2,1.63E-02
Periphyton,producer,1,8.99E+01
Macrophytes,producer,1,8.97E+01
Utricularia,producer,3.15,5.33E+00
Floating Veg,producer,1,7.67E+01
Apple snail,invertebrate,2.12,3.10E-02
Freshwater Prawn,invertebrate,2.27,9.11E-02
Crayfish,invertebrate,2.17,2.65E-02
Mesoinverts,invertebrate,2.15,1.33E-01
Other Macroinverts,invertebrate,2.12,9.74E-02
Large Aquatic Insects,invertebrate,2.96,1.09E-02
Terrestrial Inverts,invertebrate,2,3.17E-02
Fishing spider,invertebrate,3.27,2.51E-03
Gar,vert.ecto,3.46,2.01E-03
Shiners & Minnows,vert.ecto,2.68,1.69E-03
Chubsuckers,vert.ecto,2.51,2.15E-02
Catfish,vert.ecto,3.11,1.23E-02
Flagfish,vert.ecto,2,6.48E-02
Topminnows,vert.ecto,3.1,8.74E-03
Bluefin killifish,vert.ecto,2.57,2.06E-01
Killifishes,vert.ecto,2.81,1.68E-02
Mosquitofishes,vert.ecto,2.47,1.35E-02
Poecilids,vert.ecto,2.2,1.91E-02
Pigmy Sunfish,vert.ecto,3.09,8.46E-04
Bluespotted Sunfish,vert.ecto,3.09,3.30E-04
Warmouth,vert.ecto,3.21,3.73E-02
Dollar Sunfish,vert.ecto,3.09,3.89E-02
Redear Sunfish,vert.ecto,3.13,7.01E-02
Spotted sunfish,vert.ecto,3.16,2.20E-02
Other Centrarchids,vert.ecto,3.02,1.45E-03
Largemouth Bass,vert.ecto,3.25,4.16E-02
Cichlids,vert.ecto,3.23,1.34E-02
Other Large Fishes,vert.ecto,3.27,1.15E-03
Other Small Fishes,vert.ecto,2.48,8.46E-05
Salamanders,vert.ecto,3.33,9.33E-03
Salamander larvae,vert.ecto,2.57,1.90E-04
Large frogs,vert.ecto,3.29,5.06E-03
Medium frogs,vert.ecto,3.16,4.90E-03
Small frogs,vert.ecto,3.17,1.27E-03
Tadpoles,vert.ecto,2.03,1.00E-03
Turtles,vert.ecto,2.75,2.37E-02
Snakes,vert.ecto,3.32,1.90E-02
Lizards,vert.ecto,3.82,2.27E-02
Alligators,vert.ecto,3.39,1.31E-03
Muskrats,vert.endo,2,3.09E-02
Rats&Mice,vert.endo,2.27,7.03E-04
Rabbits,vert.endo,2,6.11E-04
Raccoons,vert.endo,2.59,1.90E-03
Opossum,vert.endo,2.01,6.89E-03
Otter,vert.endo,3.34,2.04E-03
Mink,vert.endo,3.41,2.03E-05
W-T Deer,vert.endo,2,4.14E-03
Bobcat,vert.endo,3.02,4.87E-05
Panthers,vert.endo,3.17,7.30E-06
Grebes,vert.endo,2.67,2.00E-07
Bitterns,vert.endo,3.25,1.00E-07
Ducks,vert.endo,2.22,1.28E-05
Snailkites,vert.endo,3.13,4.00E-07
Nighthawks,vert.endo,3,5.60E-06
Gruiformes,vert.endo,2.09,3.60E-06
CSSsparrow,vert.endo,2.57,6.00E-07
Passerines,vert.endo,2.98,8.82E-05
Sediment Carbon,,1,3.93E+03
Labile Detritus,,1,1.30E+00
Refractory Detritus,,1,5.20E+00
